# x_m,y_m,w_tr_right_m,w_tr_left_m
0.7500,4.4300,0.6964,0.6964
0.7500,4.3800,0.6801,0.6801
0.8000,4.3300,0.6801,0.6801
0.8000,4.2800,0.6964,0.6964
0.8000,4.2300,0.6801,0.6801
0.8000,4.1800,0.6671,0.6671
0.8000,4.1300,0.6500,0.6500
0.8000,4.0800,0.6325,0.6325
0.8500,4.0300,0.6519,0.6519
0.8500,3.9800,0.6576,0.6576
0.8500,3.9300,0.6519,0.6519
0.8500,3.8800,0.6500,0.6500
0.8500,3.8300,0.6500,0.6500
0.8500,3.7800,0.6500,0.6500
0.8500,3.7300,0.6500,0.6500
0.8500,3.6800,0.6500,0.6500
0.8500,3.6300,0.6500,0.6500
0.8500,3.5800,0.6500,0.6500
0.8500,3.5300,0.6500,0.6500
0.8500,3.4800,0.6500,0.6500
0.8500,3.4300,0.6500,0.6500
0.8500,3.3800,0.6500,0.6500
0.8500,3.3300,0.6500,0.6500
0.8000,3.2800,0.6000,0.6000
0.8000,3.2300,0.6000,0.6000
0.8000,3.1800,0.6000,0.6000
0.8000,3.1300,0.6000,0.6000
0.8000,3.0800,0.6000,0.6000
0.8000,3.0300,0.6000,0.6000
0.8000,2.9800,0.6000,0.6000
0.8000,2.9300,0.6000,0.6000
0.8000,2.8800,0.6000,0.6000
0.8000,2.8300,0.6000,0.6000
0.8000,2.7800,0.6000,0.6000
0.8000,2.7300,0.6000,0.6000
0.8000,2.6800,0.6021,0.6021
0.8000,2.6300,0.6083,0.6083
0.8000,2.5800,0.6185,0.6185
0.8000,2.5300,0.6325,0.6325
0.8000,2.4800,0.6500,0.6500
0.8000,2.4300,0.6500,0.6500
0.8000,2.3800,0.6325,0.6325
0.8000,2.3300,0.6185,0.6185
0.8000,2.2800,0.6083,0.6083
0.7500,2.2300,0.6185,0.6185
0.7500,2.1800,0.6325,0.6325
0.7500,2.1300,0.6500,0.6500
0.7500,2.0800,0.6500,0.6500
0.7500,2.0300,0.6500,0.6500
0.7500,1.9800,0.6500,0.6500
0.7500,1.9300,0.6500,0.6500
0.7000,1.8800,0.6000,0.6000
0.7000,1.8300,0.6000,0.6000
0.7000,1.7800,0.6000,0.6000
0.7000,1.7300,0.6000,0.6000
0.7000,1.6800,0.6000,0.6000
0.7000,1.6300,0.6000,0.6000
0.7000,1.5800,0.6000,0.6000
0.7000,1.5300,0.6000,0.6000
0.7000,1.4800,0.6000,0.6000
0.7000,1.4300,0.6000,0.6000
0.7000,1.3800,0.6000,0.6000
0.7000,1.3300,0.6000,0.6000
0.7000,1.2800,0.6000,0.6000
0.7000,1.2300,0.6000,0.6000
0.7000,1.1800,0.6000,0.6000
0.7000,1.1300,0.6000,0.6000
0.7000,1.0800,0.6000,0.6000
0.7000,1.0300,0.6000,0.6000
0.7000,0.9800,0.6000,0.6000
0.7000,0.9300,0.6000,0.6000
0.7000,0.8800,0.6000,0.6000
0.7000,0.8300,0.6000,0.6000
0.7000,0.7800,0.6000,0.6000
0.7000,0.7300,0.6000,0.6000
0.7000,0.6800,0.6000,0.6000
0.7000,0.6300,0.6000,0.6000
0.7000,0.5800,0.6000,0.6000
0.7000,0.5300,0.6000,0.6000
0.7000,0.4800,0.6000,0.6000
0.7000,0.4300,0.6000,0.6000
0.7000,0.3800,0.6000,0.6000
0.7000,0.3300,0.6000,0.6000
0.7000,0.2800,0.6000,0.6000
0.7000,0.2300,0.6000,0.6000
0.7000,0.1800,0.6000,0.6000
0.7000,0.1300,0.6000,0.6000
0.7000,0.0800,0.6000,0.6000
0.7000,0.0300,0.6000,0.6000
0.7000,-0.0200,0.6000,0.6000
0.7000,-0.0700,0.6000,0.6000
0.7000,-0.1200,0.6000,0.6000
0.7000,-0.1700,0.6000,0.6000
0.7000,-0.2200,0.6000,0.6000
0.7000,-0.2700,0.6000,0.6000
0.7000,-0.3200,0.6000,0.6000
0.7000,-0.3700,0.6000,0.6000
0.7000,-0.4200,0.6000,0.6000
0.7000,-0.4700,0.6000,0.6000
0.7000,-0.5200,0.6000,0.6000
0.7000,-0.5700,0.6000,0.6000
0.7000,-0.6200,0.6000,0.6000
0.7000,-0.6700,0.6000,0.6000
0.7000,-0.7200,0.6000,0.6000
0.7000,-0.7700,0.6000,0.6000
0.7000,-0.8200,0.6021,0.6021
0.7000,-0.8700,0.6083,0.6083
0.7000,-0.9200,0.6185,0.6185
0.7000,-0.9700,0.6325,0.6325
0.7000,-1.0200,0.6500,0.6500
0.7000,-1.0700,0.6500,0.6500
0.7000,-1.1200,0.6500,0.6500
0.7000,-1.1700,0.6500,0.6500
0.7000,-1.2200,0.6500,0.6500
0.7000,-1.2700,0.6500,0.6500
0.7000,-1.3200,0.6500,0.6500
0.7000,-1.3700,0.6500,0.6500
0.7000,-1.4200,0.6500,0.6500
0.7000,-1.4700,0.6500,0.6500
0.7000,-1.5200,0.6500,0.6500
0.7000,-1.5700,0.6500,0.6500
0.7000,-1.6200,0.6500,0.6500
0.7000,-1.6700,0.6500,0.6500
0.7000,-1.7200,0.6500,0.6500
0.7000,-1.7700,0.6500,0.6500
0.7000,-1.8200,0.6500,0.6500
0.7000,-1.8700,0.6500,0.6500
0.6500,-1.9200,0.6500,0.6500
0.6500,-1.9700,0.6500,0.6500
0.6500,-2.0200,0.6519,0.6519
0.6500,-2.0700,0.6576,0.6576
0.6500,-2.1200,0.6671,0.6671
0.6500,-2.1700,0.6801,0.6801
0.6500,-2.2200,0.6964,0.6964
